Year	Documents	modularity	path_length	transitivity	density	graph_diameter	graph_edge_count	radius	cohesion	min_cuts
1999	195	0.1889134	4.234615	0.5413534	0.225	6.728099	468	6	1	3
2000	220	0.2082019	4.008457	0.5454545	0.2261905	6.12694	456	1	0	0
2001	211	0.219557	4.397175	0.5317726	0.2271186	6.799642	402	6	1	3
2002	230	0.2094029	4.407428	0.5550239	0.2150538	7.34358	420	1	0	0
2003	269	0.2120377	4.012289	0.5076283	0.2273425	6.514477	444	5	1	3
2004	303	0.2828268	4.674531	0.5383065	0.2177858	6.64318	360	6	1	3
2005	314	0.2350159	4.661546	0.5047259	0.2012289	7.239367	393	6	1	3
2006	299	0.2820211	5.018703	0.5443548	0.2121566	7.960962	363	7	1	3
2007	401	0.2218951	4.2125	0.4808824	0.2091346	6.396454	435	6	1	3
2008	405	0.2246724	4.515071	0.4860335	0.230037	8.192199	435	6	1	3
2009	495	0.2424729	4.544157	0.4810345	0.2109995	7.940746	399	6	1	3
2010	509	0.257013	5.305769	0.5108696	0.1875	10.127881	390	8	1	3
2011	671	0.221732	4.787202	0.5110733	0.202381	7.830171	408	6	1	3
2012	683	0.2937021	4.750282	0.516441	0.2033898	7.221765	360	6	1	3
2013	793	0.25001	4.421365	0.4959184	0.1967213	8.59976	360	1	0	0
2014	943	0.2606772	5.468306	0.5152941	0.1852459	8.635023	339	7	1	3
2015	1019	0.2700938	4.623616	0.522541	0.1919619	8.749516	363	1	0	0
2016	1188	0.3159034	5.697253	0.488764	0.1788428	8.625924	306	7	1	3
2017	1094	0.2718469	4.562808	0.5214844	0.1788462	8.215577	372	2	0	0
2018	1229	0.3175765	4.837242	0.5375303	0.1674347	8.18327	327	1	0	0
2019	370	0.2379138	5.387421	0.5073069	0.1755952	8.724362	354	1	0	0
